ProbeName	ZT23a	ZT01a	ZT03a	ZT05a	ZT07a	ZT09a	ZT11a	ZT13a	ZT15a	ZT17a	ZT19a	ZT21a	ZT23b	ZT01b
GS1_SS_16528_00133	0.1413	0.6045	0.16	0.19235	-0.252	-0.12915	-0.15465	-0.17705	-0.0998	0.11385	0.197	0.5475	0.1895	0.317
GS1_SS_16531_20376	-0.0273	-0.2995	-0.06065	0.12965	0.4345	0.3675	0.086005	0.163	0.0563	-0.080495	0.082	-0.155	-0.0292	-0.1155
GS1_SS_16533_19194	0.1405	0.312	0.7565	-0.1975	-0.4125	0.14585	-0.3765	-0.481	-0.8095	-0.179	-0.0213	0.4145	0.1113	-0.079
GS1_SS_16534_12632	-0.1935	-0.1345	-0.3105	-0.101	-0.0014	0.409	0.0636	0.04345	0.1655	0.1081	0.0227	0.001	0.217	-0.002
GS1_SS_16536_02567	0.272	0.228	-0.0259	-0.234	-0.2925	-0.3575	-0.06175	-0.2318	-0.05015	-0.0214	0.0553	0.05402	0.0694	-0.0185
GS1_SS_16537_01327	0.063	0.1228	0.07135	-0.05625	-0.245	0.00805	-0.076	-0.076	0.02125	0.237	-0.159	0.292	0.2245	0.2515
GS1_SS_16539_19892	-0.00375	0.1325	0.0325	-0.0877	-0.05665	-0.03479	-0.01825	-0.07835	-0.0003	-0.0042	0.0341	0.06565	-0.0036	0.0245
GS1_SS_16541_10906	0.2805	0.316	0.256	0.1885	-0.4525	-0.3685	-0.084	-0.197	-0.10275	0.3665	0.236	0.2555	0.2505	0.337
GS1_SS_16542_11475	-0.0191	0.1031	0.028895	0.05835	-0.0724	-0.1935	-0.2865	-0.512	-0.2835	-0.285	-0.322	-0.2935	0.258	0.445
GS1_SS_16543_17072	0.053	0.2885	0.2265	-0.0784	-0.4395	0.01	0.00295	-0.0508	0.0028	0.05925	0.0913	-0.0505	-0.062	0.0326
GS1_SS_16547_07460	-0.1465	-0.206	-0.2003	-0.277	0.113	0.4025	0.3025	0.2555	0.10725	0.06915	-0.144	-0.218	-0.3315	-0.3295
GS1_SS_16553_19478	0.04585	0.0523	0.0655	-0.1693	-0.15035	-0.0255	-0.1108	-0.12025	-0.0273	0.1952	0.178	0.16205	0.1445	0.1803
GS1_SS_16560_08892	-0.4095	0.24	0.4246	-0.05325	-0.037145	0.15835	0.0255	-0.453	-0.0641	0.159	-0.213	0.1456	0.139	0.1825
GS1_SS_16564_08300	-0.2165	-0.1125	0.4565	0.4125	0.064995	0.0798	-0.2585	-0.535	-0.332	-0.3695	0.182	0.0319	-0.294	-0.4655
GS1_SS_16565_17292	0.0555	-0.075	0.2735	0.4065	0.5035	0.3021	0.255	0.3798	0.389	0.2375	1.03	0.37495	0.248	0.1025
GS1_SS_16566_00729	-0.5415	-0.427	-0.289	-0.05094	0.313	0.6865	0.3235	0.0187	0.094	-0.12925	-0.454	-0.3635	-0.4555	-0.516
GS1_SS_16567_01351	-0.421	-0.383	-0.3375	0.004	0.10385	0.2415	0.15615	0.217	0.06945	0.09965	-0.123	-0.12158	-0.1375	-0.1235
GS1_SS_16568_19740	0.2442	-0.017	-0.2365	-0.1775	-0.2505	0.2055	0.0309	0.6255	0.373	0.32585	0.403	0.6355	-0.409	-0.0925
GS1_SS_16573_17803	0.199	0.2885	0.2095	0.0545	-0.035	-0.05665	-0.3375	-0.259	-0.2165	0.033	0.363	0.302	0.15595	0.1815
GS1_SS_16574_12368	0.3225	0.2195	0.2525	0.234	-0.0881	-0.09045	-0.07143	0.0719	0.22305	0.05	0.321	0.437	0.24555	0.306
GS1_SS_16579_19888	0.215	0.1452	0.1588	-0.1371	-0.31	-0.297	-0.036	-0.2345	-0.10175	-0.1025	0.0235	0.1871	0.0483	0.0391
GS1_SS_16580_15645	0.1322	-0.0525	0.39845	0.7805	-0.528	-0.3935	-0.301	-0.4335	-0.072	0.2045	-0.0951	0.27645	-0.4265	-0.717
GS1_SS_16581_17217	0.2055	0.08495	0.06205	0.0235	-0.1639	-0.1825	-0.4365	-0.29	-0.3475	-0.1615	0.0105	0.1223	0.04075	0.17375
GS1_SS_16582_08426	0.20535	0.2845	-0.0133	-0.0055	-0.0667	0.03255	-0.0934	-0.00822	0.05755	0.0535	-0.0569	0.12695	0.0953	0.209365
GS1_SS_16583_05353	0.287	0.316	0.265	0.04315	-0.4255	-0.4595	-0.19935	-0.2845	-0.246	0.08065	0.126	0.3665	0.2	0.16135
GS1_SS_16584_06871	0.18	-0.0079	0.0285	0.09	-0.2484	-0.1828275	-0.063	0.2115	0.209	0.2465	0.744	0.483	0.104	0.1645
GS1_SS_16585_21084	-0.03375	-0.0054	0.07235	-0.08775	0.01275	-0.11395	-0.0855	-0.0904	-0.0055	-0.14355	0.194	0.05075	-0.084	-0.1465
GS1_SS_16587_12264	0.08385	0.12405	0.09885	-0.0992	0.1055	-0.213	-0.1135	-0.09175	0.139	0.007	-0.241	0.09225	0.0936	0.0531615
GS1_SS_16588_20780	0.2068	0.10515	0.038075	-0.09725	-0.201	-0.1257	0.09345	-0.05445	-0.0614	0.209	0.111	0.162345	0.04875	0.21
GS1_SS_16591_09959	0.12715	0.0769	0.02469	-0.0719	-0.06055	-0.1696	-0.1945	0.14685	0.16	-0.2145	0.282	0.228	0.1868	0.13
GS1_SS_16595_11295	0.2375	0.296	-0.1267	0.2962	0.047	0.0605	0.114559	0.11715	0.08665	0.250059	0.544	0.329	0.19705	0.14465
GS1_SS_16598_04032	0.0223	-0.05725	0.0922	-0.0285	0.317	0.66	0.073	0.0263	-0.233	-0.3615	-0.109	-0.17125	-0.03255	-0.1261
GS1_SS_16600_21832	-0.4125	-0.396	-0.307	0.04515	1.21	0.8475	-0.17	-0.35835	-0.663	-1.3535	-0.583	-0.4695	-0.508	-0.4085
GS1_SS_16602_17016	0.0475	0.0425	-0.05275	-0.0365	0.14507	-0.006	-0.044	0.01305	0.2805	0.0535	0.139	0.052	0.01865	0.1719
GS1_SS_16604_16450	-0.15195	-0.088	-0.1236	-0.05245	-0.0539	0.06698	0.12555	0.08665	0.0819	0.043515	-0.152	-0.11	-0.0899	-0.0154
GS1_SS_16605_21775	-0.082	-0.07305	-0.11825	0.080525	-0.00815	0.1735	0.0185	0.0249	0.189	0.2535	0.0202	-0.08735	-0.06525	0.06355
GS1_SS_16606_11368	0.038	0.1665	0.0908	0.07865	-0.07405	-0.226	-0.226	0.028575	-0.05995	-0.0795	-0.13	0.1689	0.26331	0.03295
GS1_SS_16608_09119	0.16345	-0.1465	-0.23365	0.0255	0.39	0.11095	0.1505	-0.045	-0.187	-0.043	-0.415	-0.3615	0.18175	-0.03145
GS1_SS_16612_06973	-0.5	-0.514	-0.311	-0.1565	0.6205	0.323	0.0995	0.224	-0.04135	-0.2035	-0.38	-0.3795	-0.5025	-0.748
GS1_SS_16613_19521	0.212	-0.00955	0.211	0.06465	0.09355	-0.1015	-0.15575	-0.4025	0.1295	0.0519	-0.167	-0.0845	-0.3305	-0.45705
GS1_SS_16615_08369	-0.15245	-0.03775	0.07955	0.1435	0.10875	0.2205	0.163	-0.01425	-0.0504	0.2105	0.0176	-0.0147	0.0423	0.168
GS1_SS_16616_07068	-1.076	-1.1175	-0.9035	-0.5645	0.851	1.1045	0.1695	0.27315	-0.8015	-0.9555	-1.14	-0.8385	-0.9785	-1.1355
GS1_SS_16618_20274	0.1087	0.04075	0.2535	0.16705	0.0498	0.344	-0.291	-0.388	-0.4235	-0.1775	-0.304	-0.021	-0.1235	-0.256
GS1_SS_16619_12462	-0.0045	0.1253	0.2465	-0.0819	-0.1474	0.0095	0.0601	0.012	-0.228155	-0.068	-0.335	-0.1626	-0.0762	-0.164
GS1_SS_16623_18452	-0.3555	-0.0848	0.529	0.345	0.3755	0.659	-0.355	-0.748	-0.612	-0.3595	-0.03	0.00655	-0.4715	-0.9875
